id_curso;nome_curso;municipio;unidade;modalidade_educacao;modalidade_curso;turno;grau_curso;ensino;tipo_regime_letivo;situacao_curso;eixo_conhecimento;data_inicio_funcionamento;codigo_e_mec;portaria_reconhecimento
527785;QUÍMICA;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;LICENCIATURA;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;1103487;Portaria MEC nº 728
518226;ENGENHARIA MECATRÔNICA;Juiz de Fora;JFA-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Engenharias;;123613;Portaria SERES/MEC n.º 110
524499;GESTÃO AMBIENTAL;Bom Sucesso;BSC-SETOR DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Ciências Biológicas;;1415489;Curso reconhecido na forma do art. 11. § 1º, do Decreto nº 9.235, de 15 de dezembro de 2017, e do art. 26, § 1º, da Portaria MEC nº 1.095
528378;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Agrárias;;102558;Portaria SERES/MEC n° 220, DOU Seção 1, página 1
528322;ADMINISTRAÇÃO;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Sociais Aplicadas;;113585;Portaria SERES/MEC n° 209
527777;AGRONOMIA;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Agrárias;;1116880;Portaria SERES/MEC nº 110, seção 1, pág. 95
548195;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;São João Del Rei;SJR-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;LICENCIATURA;Hora/Aula;Semestral;Em Atividade;Lingüística, Letras e Artes;;1188383;Portaria SERES/MEC nº 918
23693644;EDUCAÇÃO FÍSICA;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências da Saúde;;;
518225;ENGENHARIA METALÚRGICA;Juiz de Fora;JFA-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Engenharias;;1313157;Portaria SERES/MEC nº 889
10154958;GESTÃO AMBIENTAL;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Anual;Em Atividade;Ciências Biológicas;;1550523;
898737;LATICÍNIOS;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Ciências Agrárias;;58737;Portaria n° 119, de 03 de Abril de 2008
528391;CIÊNCIA DA COMPUTAÇÃO;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;98918;PORTARIA SERES/MEC Nº 152
527781;CIÊNCIAS BIOLÓGICAS;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;LICENCIATURA;Hora/Aula;Semestral;Em Atividade;Ciências Biológicas;;1126887;Portaria SERES/MEC n.º 918, D.O.U. nº 249, seção 1, pag. 221
1094782;DESENVOLVIMENTO DE SISTEMAS DISTRIBUÍDOS;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;;
527780;GESTÃO DE TURISMO;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Ciências Sociais Aplicadas;;1103339;Portaria MEC 517
21762375;AGRONOMIA;Manhuaçu;MNU-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Agrárias;;1600521;
2304089;DESIGN DE INTERIORES;Juiz de Fora;JFA-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Anual;Em Atividade;Outra;;1487131;Processo de reconhecimento e-Mec nº 202212602
2259610;CIÊNCIAS BIOLÓGICAS;Muriaé;MUR-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Matutino;LICENCIATURA;Hora/Aula;Semestral;Em Atividade;Ciências da Saúde;;1465750;
