matricula;curso;modalidade_entrada;ano_ingresso;data_colacao_grau;situacao_matricula;sexo;prazo_conclusao;id_curso;data_registro_diploma
201*****;SISTEMAS DE INFORMAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2018;;ATIVO;M;20231;518224;
170*****;ENGENHARIA METALÚRGICA;AMPLA CONCORRENCIA;2017;;ATIVO;M;20272;518225;
150*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2015;;CANCELADO;M;;518227;
202*****;SISTEMAS PARA INTERNET;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2021;;CANCELADO;F;20252;527820;
112*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;20182;528322;
202*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2021;;ATIVO;F;20271;10154958;
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2014;21-05-2021;CONCLUÍDO;F;20181;527780;20-07-2021
130*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2013;;CANCELADO;M;20222;518226;
102*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2010;;CANCELADO;M;;518226;
110*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2011;;CANCELADO;M;;553290;
201*****;AGRONOMIA;AMPLA CONCORRENCIA;2010;;CANCELADO;M;20201;527777;
202*****;ENGENHARIA METALÚRGICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2022;;ATIVO;M;20322;518225;
128*****;MATEMÁTICA;AMPLA CONCORRENCIA;2015;15-02-2019;CONCLUÍDO;F;20222;459794;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2012;;CANCELADO;F;;527785;
201*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2019;;CANCELADO;M;20262;528322;
202*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2020;;ATIVO;M;20272;527776;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2011;;CANCELADO;M;20182;527776;
201*****;SISTEMAS DE INFORMAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2019;;ATIVO;M;20232;518224;
201*****;GESTÃO DE TURISMO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2018;;CANCELADO;M;20222;527780;
202*****;MATEMÁTICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2021;;CANCELADO;M;20272;524921;
126*****;CIÊNCIA DA COMPUTAÇÃO;AMPLA CONCORRENCIA;2011;;FORMANDO;M;20182;528391;
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2014;;CANCELADO;M;20181;527780;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2016;;CANCELADO;M;;527781;
351*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;M;20172;528322;
400*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;F;20172;528371;
103*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2007;;CONCLUÍDO;F;20122;898738;
202*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2022;;CANCELADO;M;20312;518226;
201*****;FÍSICA;AMPLA CONCORRENCIA;2018;;CANCELADO;M;20262;518227;
